Site,Project,Project_Code,Stage,Site_Type,Resource_Oz_Au,Resource_Mt,Resource_Grade_gpt,Reserve_Oz_Au,Reserve_Mt,Reserve_Grade_gpt,Resource_Categories,Resource_Statuses,Estimate_Date,Distance_km,Nearest_FRS_Cluster,Dist_Edna_May_Mill_km,Dist_Lake_Johnston_Plant_km,Latitude,Longitude,Primary_Owner,All_Owners,N_Latest_Rows,N_Total_Historical
Tank South,Aldiss - Karonie,J00184,Undeveloped,Deposit,142087,1.993,2.22,50091,0.41,3.8,Resource,"Indicated, Inferred",30/06/2021,27.3,28,368.4,233.2,-31.074015,122.561266,MOTO GOLDMINES AUSTRALIA PTY LTD,MOTO GOLDMINES AUSTRALIA PTY LTD; Vault Minerals Limited (100.00%); Barrick Gold Corp.,2,7
Oroya/Kaltails,Kaltails,J00177,Shut,Infrastructure,141463,20.0,0.22,141463,20.0,0.22,Reserve,Probable,26/10/1995,40.5,25,274.2,186.2,-30.777577,121.510012,Northern Star Resources Ltd,Northern Star Resources Ltd (100.00%); Newmont Corporation,1,1
Riverina Pit,Davyhurst,J00084,Care and Maintenance,Mine,140611,2.711,1.61,0,0,0.0,Resource,"Indicated, Inferred, Measured",26/10/2023,14.0,30,249.2,274.1,-29.744589,120.564982,Beacon Minerals Limited,"Beacon Minerals Limited; Siberia Mining Corporation Pty Ltd; Wesfarmers Chemicals, Energy & Fertilisers Limited; Carnegie Gold Pty Ltd; Ora Banda Mining Ltd (100.00%); Davyston Exploration Pty Ltd",3,25
Res Group,Kalpini,J03265,Proposed,Mine,140347,1.872,2.33,0,0,0.0,Resource,"Indicated, Inferred",28/09/2021,32.1,25,325.8,243.6,-30.406004,121.946513,Horizon Minerals Limited,Horizon Minerals Limited (100.00%),2,4
Surprise UG,South Kalgoorlie Operations,J00276,Undeveloped,Deposit,139807,1.862,2.34,0,0,0.0,Resource,"Indicated, Inferred",30/06/2014,22.6,15,246.9,156.5,-30.963435,121.260912,Black Mountain Gold Limited,Black Mountain Gold Limited; Northern Star Resources Ltd (100.00%); Northern Star (Klv) Pty Ltd; Northern Star (HBJ) Pty Ltd; Horizon Minerals Limited; Northern Star (South Kalgoorlie) Pty Ltd; Northern Star (Hampton Gold Mining Areas) Limited; Northern Star (Saracen Kalgoorlie) Pty Ltd,2,3
Jackpot,Coolgardie,J00014,Care and Maintenance,Mine,139087,0.667,6.49,0,0,0.0,Resource,"Indicated, Inferred",31/12/2000,18.3,15,242.5,159.6,-30.908065,121.202311,Focus Minerals Ltd,Focus Minerals Ltd (100.00%); Connected Minerals Limited (Royalties%); Horizon Minerals Limited,3,4
Brilliant/KalNorth,Kurnalpi,J03495,Undeveloped,Deposit,139084,3.54,1.22,0,0,0.0,Resource,"Indicated, Inferred",30/06/2016,34.7,25,347.5,249.7,-30.520856,122.224108,Northern Star Resources Ltd,"Northern Star Resources Ltd (100.00%); Northern Star (Carosue Dam) Pty Ltd; Royal Gold, Inc. (Royalties%); International Royalty Corporation (Royalties%)",2,11
La Mascotte,Bulong Taurus,J05550,Undeveloped,Deposit,138116,3.61,1.19,0,0,0.0,Resource,Inferred,07/03/2023,7.8,25,307.0,210.0,-30.715336,121.84519,Ardea Resources Limited,Ardea Resources Limited; Kalgoorlie Gold Mining Limited (100.00%),1,1
Falcon,EKJV,J01718,Undeveloped,Deposit,137715,0.915,4.68,0,0,0.0,Resource,Inferred,31/03/2021,33.8,15,251.3,179.0,-30.735645,121.250387,Rand Mining Limited,Rand Mining Limited (12.25%); TrIBune Resources Limited (36.75%); Evolution Mining Limited (51.00%); Gilt-Edged Mining NL; Evolution Mining (Mungari) Pty Ltd; Kundana Gold Pty Limited; Vox Royalty Australia Pty Ltd (Royalties%); Rand Exploration Nl,2,2
Broads Dam,Broads Dam,J00353,Proposed,Mine,136422,1.92,2.21,0,0,0.0,Resource,Inferred,31/12/2015,39.2,16,243.9,191.9,-30.564262,121.104917,Evolution Mining Limited,"Evolution Mining Limited (100.00%); Royal Gold, Inc. (Royalties%); Tivan Limited (Royalties%)",1,1
Makai,Davyhurst,J00084,Proposed,Mine,136001,2.138,1.98,0,0,0.0,Resource,"Indicated, Inferred",30/06/2021,24.4,30,235.5,242.9,-30.029038,120.66321,Beacon Minerals Limited,"Beacon Minerals Limited; Siberia Mining Corporation Pty Ltd; Wesfarmers Chemicals, Energy & Fertilisers Limited; Carnegie Gold Pty Ltd; Ora Banda Mining Ltd (100.00%); Davyston Exploration Pty Ltd",2,4
Yilgarn Star UG,Marvel Loch - Southern Cross,J00226,Proposed,Mine,135393,0.896,4.7,135393,0.896,4.7,Reserve,Probable,25/07/2016,38.9,77,96.5,107.2,-31.53347,119.678647,Minjar Gold Pty Ltd,"Newcrest Mining Limited (Royalties%); Adelong Gold Limited (Royalties%); Minjar Gold Pty Ltd; Royal Gold, Inc. (Royalties%); Barto Gold Mining Pty Ltd (100.00%); Shandong Tianye Group Bid Co Pty Ltd; International Royalty Corporation (Royalties%)",1,1
Sand King,Davyhurst,J00084,Care and Maintenance,Mine,134152,1.229,3.4,10545,0.12,2.73,Resource,"Indicated, Inferred, Measured",26/10/2023,45.5,29,248.3,226.7,-30.210544,120.96266,Beacon Minerals Limited,"Beacon Minerals Limited; Siberia Mining Corporation Pty Ltd; Wesfarmers Chemicals, Energy & Fertilisers Limited; Carnegie Gold Pty Ltd; Ora Banda Mining Ltd (100.00%); Davyston Exploration Pty Ltd",3,28
Yilgarn Star N,Marvel Loch - Southern Cross,J00226,Undeveloped,Deposit,131947,0.72,5.7,0,0,0.0,Resource,Inferred,31/03/1998,38.0,77,95.5,108.2,-31.528426,119.670012,Minjar Gold Pty Ltd,"Newcrest Mining Limited (Royalties%); Adelong Gold Limited (Royalties%); Minjar Gold Pty Ltd; Royal Gold, Inc. (Royalties%); Barto Gold Mining Pty Ltd (100.00%); Shandong Tianye Group Bid Co Pty Ltd; International Royalty Corporation (Royalties%)",1,2
Jacques Find,Teal - Peyes Farm,J01699,Undeveloped,Deposit,129877,1.742,2.32,0,0,0.0,Resource,"Indicated, Inferred",15/09/2021,45.7,15,264.7,188.2,-30.698128,121.383695,Horizon Minerals Limited,Horizon Minerals Limited (100.00%),2,5
East Load,Boorara,J02851,Proposed,Mine,129857,3.76,1.07,0,0,0.0,Resource,"Indicated, Inferred, Measured",07/08/2013,29.6,25,285.7,190.8,-30.800232,121.639139,Norton Gold FIelds Pty Ltd,Norton Gold FIelds Pty Ltd; Horizon Minerals Limited (100.00%); Paddington Gold Pty LIMIted,5,5
Gordon-Sirdar,Gordon - Sirdar,J01307,Operating,Mine,128669,2.013,1.99,38255,0.34,3.5,Resource,Indicated,16/09/1994,41.5,25,292.3,221.9,-30.450334,121.594507,FMR INVESTMENTS PTY LIMITED,FMR INVESTMENTS PTY LIMITED (100.00%),3,5
Lady Gladys,Davyhurst,J00084,Shut,Mine,128159,2.048,1.95,0,0,0.0,Resource,"Indicated, Inferred",30/06/2021,2.2,30,237.5,263.4,-29.839507,120.503413,Beacon Minerals Limited,"Beacon Minerals Limited; Siberia Mining Corporation Pty Ltd; Wesfarmers Chemicals, Energy & Fertilisers Limited; Carnegie Gold Pty Ltd; Ora Banda Mining Ltd (100.00%); Davyston Exploration Pty Ltd",2,26
Coogee,Hogans - Coogee,J01878,Shut,Mine,126682,3.655,1.08,0,0,0.0,Resource,"Indicated, Inferred",26/08/2024,49.0,25,303.2,177.8,-31.133135,121.880357,Javelin Minerals Limited,Ramelius Resources Ltd (Royalties%); Javelin Minerals Limited (100.00%),4,17
Norris,Coolgardie,J00014,Shut,Mine,125002,1.62,2.4,0,0,0.0,Resource,Inferred,31/12/2019,10.2,15,225.5,138.5,-31.058016,121.050857,Focus Minerals Ltd,Focus Minerals Ltd (100.00%); Connected Minerals Limited (Royalties%); Horizon Minerals Limited,1,3
Bakers Flat - Tarranto,South Kalgoorlie Operations,J00276,Care and Maintenance,Mine,121651,2.382,1.59,9593,0.181,1.65,Resource,"Indicated, Inferred, Measured",30/06/2017,23.4,15,247.5,156.3,-30.969409,121.268715,Black Mountain Gold Limited,Black Mountain Gold Limited; Northern Star Resources Ltd (100.00%); Northern Star (Klv) Pty Ltd; Northern Star (HBJ) Pty Ltd; Horizon Minerals Limited; Northern Star (South Kalgoorlie) Pty Ltd; Northern Star (Hampton Gold Mining Areas) Limited; Northern Star (Saracen Kalgoorlie) Pty Ltd,3,17
White Feather,Kanowna -Golden Valley,J00181,Undeveloped,Deposit,121530,2.7,1.4,0,0,0.0,Resource,Inferred,30/06/1998,31.2,25,289.1,208.4,-30.598946,121.615411,Perilya Ltd,Perilya Ltd; Cove Mining NL; Northern Star Resources Ltd (100.00%); Northern Star (Klv) Pty Ltd (Royalties%); Northern Star (Kanowna) Pty Limited; Northern Star (Saracen Kalgoorlie) Pty Ltd (Royalties%),1,1
Cutters Ridge Group,Mungari,J04814,Care and Maintenance,Mine,120334,2.88,1.3,0,0,0.0,Resource,"Indicated, Inferred, Measured",31/12/2015,26.7,15,244.0,172.7,-30.771688,121.182312,Evolution Mining Limited,Evolution Mining Limited (100.00%),4,11
Parbo,Marvel Loch - Southern Cross,J00226,Care and Maintenance,Mine,119940,0.536,6.96,0,0,0.0,Resource,Indicated,30/06/2000,32.5,77,87.7,115.2,-31.508167,119.590609,Minjar Gold Pty Ltd,"Newcrest Mining Limited (Royalties%); Adelong Gold Limited (Royalties%); Minjar Gold Pty Ltd; Royal Gold, Inc. (Royalties%); Barto Gold Mining Pty Ltd (100.00%); Shandong Tianye Group Bid Co Pty Ltd; International Royalty Corporation (Royalties%)",1,1
Three Mile Hill,Coolgardie,J00014,Care and Maintenance,Mine,117453,2.278,1.6,45731,1.016,1.4,Resource,"Indicated, Inferred",31/12/2018,17.3,15,241.7,157.5,-30.927017,121.198413,Focus Minerals Ltd,Focus Minerals Ltd (100.00%); Connected Minerals Limited (Royalties%); Horizon Minerals Limited,4,17
Trojan,Slate Dam,J05346,Shut,Mine,115125,2.116,1.69,0,0,0.0,Resource,"Indicated, Inferred",07/10/2020,25.5,25,321.9,207.3,-30.897916,122.044966,Black Cat (Bulong) Pty Ltd,Black Cat (Bulong) Pty Ltd; Black Cat Syndicate Limited (100.00%),2,8
Waldon,Kanowna -Golden Valley,J00181,Shut,Mine,112100,1.47,2.37,0,0,0.0,Resource,"Indicated, Inferred",30/06/2009,32.9,25,288.0,208.6,-30.589396,121.60057,Perilya Ltd,Perilya Ltd; Cove Mining NL; Northern Star Resources Ltd (100.00%); Northern Star (Klv) Pty Ltd (Royalties%); Northern Star (Kanowna) Pty Limited; Northern Star (Saracen Kalgoorlie) Pty Ltd (Royalties%),2,4
Great Victoria UG,Marvel Loch - Southern Cross,J00226,Care and Maintenance,Mine,111502,1.502,2.31,0,0,0.0,Resource,"Indicated, Inferred",25/07/2016,35.7,77,87.2,113.7,-31.544265,119.57371,Minjar Gold Pty Ltd,"Newcrest Mining Limited (Royalties%); Adelong Gold Limited (Royalties%); Minjar Gold Pty Ltd; Royal Gold, Inc. (Royalties%); Barto Gold Mining Pty Ltd (100.00%); Shandong Tianye Group Bid Co Pty Ltd; International Royalty Corporation (Royalties%)",2,7
Lanarkshire,South Kalgoorlie Operations,J00276,Shut,Mine,111362,2.784,1.24,12823,0.429,0.93,Resource,"Indicated, Inferred, Measured",30/06/2016,46.5,25,277.0,170.2,-30.995859,121.586269,Black Mountain Gold Limited,Black Mountain Gold Limited; Northern Star Resources Ltd (100.00%); Northern Star (Klv) Pty Ltd; Northern Star (HBJ) Pty Ltd; Horizon Minerals Limited; Northern Star (South Kalgoorlie) Pty Ltd; Northern Star (Hampton Gold Mining Areas) Limited; Northern Star (Saracen Kalgoorlie) Pty Ltd,3,15
Nazzaris,Zuleika North - Ora Banda,J03563,Shut,Mine,108969,1.96,1.73,0,0,0.0,Resource,"Indicated, Inferred",31/12/2015,46.7,16,248.4,212.6,-30.358837,121.054615,Evolution Mining Limited,Evolution Mining Limited (100.00%),2,4
Burgundy,Mungari,J04814,Proposed,Mine,108293,1.86,1.81,0,0,0.0,Resource,"Indicated, Inferred, Measured",31/12/2015,34.7,16,237.8,182.2,-30.647478,121.071851,Evolution Mining Limited,Evolution Mining Limited (100.00%),4,17
Randalls,Randalls - Mt Monger,J00251,Operating,Infrastructure,102577,3.545,0.9,9568,0.186,1.6,Resource,Measured,30/06/2025,35.2,25,308.7,190.3,-31.009983,121.924319,Vault Minerals Limited,Vault Minerals Limited (100.00%); Silver Lake (Integra) Pty Limited; Silver Lake Resources Ltd; Golden Mile Milling Pty Ltd,1,13
Catherwood,Mungari,J04814,Shut,Mine,101751,1.59,1.99,0,0,0.0,Resource,"Indicated, Inferred",31/12/2015,33.5,15,236.1,179.5,-30.669786,121.061709,Evolution Mining Limited,Evolution Mining Limited (100.00%),2,11
Carbine North,Carbine,J04549,Undeveloped,Deposit,101629,1.91,1.65,0,0,0.0,Resource,"Indicated, Inferred",04/02/2014,27.5,16,228.9,198.2,-30.458468,120.883915,Evolution Mining Limited,Evolution Mining Limited (100.00%); Kundana Gold Pty Limited,2,13
Navajo S,Binduli,J00019,Shut,Mine,99481,1.948,1.59,0,0,0.0,Resource,"Indicated, Measured",30/06/2001,38.6,15,262.1,176.0,-30.825191,121.392372,Norton Gold FIelds Pty Ltd,Norton Gold FIelds Pty Ltd (100.00%); Bellamel Mining Ltd; Zijin Mining Group; Paddington Gold Pty LIMIted; Vox Royalty Australia Pty Ltd (Royalties%),2,2
Backflip,Zuleika North - Ora Banda,J03563,Proposed,Mine,97163,1.31,2.31,0,0,0.0,Resource,"Indicated, Inferred",31/12/2015,45.5,16,250.4,199.3,-30.507725,121.152399,Evolution Mining Limited,Evolution Mining Limited (100.00%),2,2
Woodline,Kanowna -Golden Valley,J00181,Undeveloped,Deposit,96967,1.04,2.9,0,0,0.0,Resource,Inferred,30/06/1995,34.5,25,288.7,211.4,-30.559252,121.597608,Perilya Ltd,Perilya Ltd; Cove Mining NL; Northern Star Resources Ltd (100.00%); Northern Star (Klv) Pty Ltd (Royalties%); Northern Star (Kanowna) Pty Limited; Northern Star (Saracen Kalgoorlie) Pty Ltd (Royalties%),1,1
Perseverance Lode,Coolgardie,J00014,Proposed,Mine,96189,0.663,4.51,0,0,0.0,Resource,"Indicated, Inferred, Measured",31/12/2019,14.4,15,238.3,151.0,-30.982095,121.173907,Focus Minerals Ltd,Focus Minerals Ltd (100.00%); Connected Minerals Limited (Royalties%); Horizon Minerals Limited,4,13
Sand George,Comet Vale -Queen,J00066,Care and Maintenance,Mine,95674,0.619,4.81,0,0,0.0,Resource,"Indicated, Inferred",11/04/2022,16.3,29,276.8,257.5,-29.958838,121.13151,GBF Mining Pty Ltd,Neometals Ltd (Royalties%); GBF Mining Pty Ltd; Gorilla Gold Mines Ltd (100.00%); Orminex West Pty Ltd,4,27
Myhree UG,New Bulong - Kal East,J01837,Proposed,Mine,94234,0.685,4.28,0,0,0.0,Resource,"Indicated, Inferred",09/10/2020,14.7,25,300.1,204.7,-30.729615,121.775297,Black Cat (Bulong) Pty Ltd,Black Cat (Bulong) Pty Ltd; Vox Royalty Australia Pty Ltd (Royalties%); Black Cat Syndicate Limited (100.00%); Black Cat (Kal East) Pty Ltd,2,2
Lady Robinson-Birthday Gift Underground,Burbanks,J00069,Care and Maintenance,Mine,93237,0.505,5.74,0,0,0.0,Resource,"Indicated, Inferred",30/06/2016,12.5,15,233.9,144.7,-31.028973,121.135034,FMR INVESTMENTS PTY LIMITED,FMR INVESTMENTS PTY LIMITED; Kidman Resources Limited (Royalties%); Horizon Minerals Limited (100.00%),2,12
Boundary,Zuleika North - Ora Banda,J03563,Proposed,Mine,92961,1.58,1.83,0,0,0.0,Resource,Inferred,31/12/2015,45.8,16,247.8,211.5,-30.368267,121.052913,Evolution Mining Limited,Evolution Mining Limited (100.00%),1,2
Triumph,South Kalgoorlie Operations,J00276,Shut,Mine,91610,1.644,1.73,0,0,0.0,Resource,"Indicated, Inferred, Measured",31/12/2011,43.7,25,278.7,173.1,-30.97252,121.600307,Black Mountain Gold Limited,Black Mountain Gold Limited; Northern Star Resources Ltd (100.00%); Northern Star (Klv) Pty Ltd; Northern Star (HBJ) Pty Ltd; Horizon Minerals Limited; Northern Star (South Kalgoorlie) Pty Ltd; Northern Star (Hampton Gold Mining Areas) Limited; Northern Star (Saracen Kalgoorlie) Pty Ltd,3,4
Cyanide Deeps,Coolgardie,J00014,Shut,Mine,91588,0.593,4.8,0,0,0.0,Resource,"Indicated, Inferred",31/12/2019,14.8,15,238.6,150.7,-30.986177,121.177309,Focus Minerals Ltd,Focus Minerals Ltd (100.00%); Connected Minerals Limited (Royalties%); Horizon Minerals Limited,2,4
Crossroads,Kanowna -Golden Valley,J00181,Shut,Mine,91376,0.97,2.93,0,0,0.0,Resource,Inferred,25/05/2017,45.8,25,276.4,204.4,-30.570241,121.466638,Perilya Ltd,Perilya Ltd; Cove Mining NL; Northern Star Resources Ltd (100.00%); Northern Star (Klv) Pty Ltd (Royalties%); Northern Star (Kanowna) Pty Limited; Northern Star (Saracen Kalgoorlie) Pty Ltd (Royalties%),1,8
Salt Creek,Randalls - Mt Monger,J00251,Shut,Mine,90238,1.341,2.09,0,0,0.0,Resource,"Indicated, Inferred, Measured",30/06/2013,46.9,25,316.7,189.7,-31.107577,122.020312,Vault Minerals Limited,Vault Minerals Limited (100.00%); Silver Lake (Integra) Pty Limited; Silver Lake Resources Ltd; Golden Mile Milling Pty Ltd,3,20
King Solomon,Coolgardie,J00014,Shut,Mine,90022,1.4,2.0,0,0,0.0,Resource,Inferred,30/09/2005,14.4,15,238.9,153.9,-30.953161,121.174076,Focus Minerals Ltd,Focus Minerals Ltd (100.00%); Connected Minerals Limited (Royalties%); Horizon Minerals Limited,1,3
Missouri,Davyhurst,J00084,Care and Maintenance,Mine,89476,0.71,3.92,0,0,0.0,Resource,"Indicated, Inferred",01/07/2025,46.6,29,247.0,225.6,-30.219174,120.953676,Beacon Minerals Limited,"Beacon Minerals Limited; Siberia Mining Corporation Pty Ltd; Wesfarmers Chemicals, Energy & Fertilisers Limited; Carnegie Gold Pty Ltd; Ora Banda Mining Ltd (100.00%); Davyston Exploration Pty Ltd",2,41
Wattlebird,Paddington - Mt Pleasant,J00292,Shut,Mine,88823,2.0,1.38,19761,0.392,1.57,Resource,"Indicated, Inferred",31/12/2014,36.0,16,240.8,195.2,-30.519806,121.050914,Norton Gold FIelds Pty Ltd,"Norton Gold FIelds Pty Ltd (100.00%); Royal Gold, Inc. (Royalties%); Zijin Mining Group; Keras Resources Plc; Paddington Gold Pty LIMIted",2,9
Fort William,Binduli,J00019,Operating,Mine,88376,2.01,1.37,0,0,0.0,Resource,"Indicated, Inferred",30/06/2009,39.8,15,262.2,179.2,-30.788705,121.384112,Norton Gold FIelds Pty Ltd,Norton Gold FIelds Pty Ltd (100.00%); Bellamel Mining Ltd; Zijin Mining Group; Paddington Gold Pty LIMIted; Vox Royalty Australia Pty Ltd (Royalties%),2,13
Robinson,Kanowna -Golden Valley,J00181,Shut,Mine,88254,1.8,1.52,0,0,0.0,Resource,"Indicated, Inferred",30/06/2009,32.8,25,288.5,209.2,-30.585064,121.604005,Perilya Ltd,Perilya Ltd; Cove Mining NL; Northern Star Resources Ltd (100.00%); Northern Star (Klv) Pty Ltd (Royalties%); Northern Star (Kanowna) Pty Limited; Northern Star (Saracen Kalgoorlie) Pty Ltd (Royalties%),2,5
Parbo UG,Marvel Loch - Southern Cross,J00226,Undeveloped,Deposit,87433,0.454,5.99,87433,0.454,5.99,Reserve,Probable,30/06/2000,32.5,77,87.7,115.2,-31.508167,119.590609,Minjar Gold Pty Ltd,"Newcrest Mining Limited (Royalties%); Adelong Gold Limited (Royalties%); Minjar Gold Pty Ltd; Royal Gold, Inc. (Royalties%); Barto Gold Mining Pty Ltd (100.00%); Shandong Tianye Group Bid Co Pty Ltd; International Royalty Corporation (Royalties%)",1,1
Lindsays,Lindsays,J01525,Care and Maintenance,Mine,86524,1.682,1.6,0,0,0.0,Resource,"Indicated, Inferred",20/07/2015,45.8,25,306.0,238.1,-30.331503,121.69581,Nu-Fortune Gold Ltd,Nu-Fortune Gold Ltd; Auric Mining Limited; Top Global Mining Pty Ltd (Royalties%); NBC Mining Pty Ltd (Royalties%); Lmg (WA) Pty Ltd,2,20
Think Big,Feysville,J03724,Undeveloped,Deposit,86486,2.4,1.12,0,0,0.0,Resource,"Indicated, Inferred",31/10/2024,40.3,25,280.8,176.7,-30.943728,121.617869,Astral Resources NL,BHP Group Limited (Royalties%); Astral Resources NL (100.00%); Feysville Gold Pty Ltd; Mineral Mining Services Pty Ltd,2,5
Regal,Zuleika North - Ora Banda,J03563,Undeveloped,Deposit,86164,1.49,1.8,0,0,0.0,Resource,"Indicated, Inferred",20/10/2010,46.9,16,251.7,202.2,-30.481866,121.155847,Evolution Mining Limited,Evolution Mining Limited (100.00%),2,5
Kamperman,Feysville,J03724,Undeveloped,Deposit,84878,2.0,1.32,0,0,0.0,Resource,"Indicated, Inferred",31/10/2024,41.8,25,277.8,175.8,-30.931857,121.583848,Astral Resources NL,BHP Group Limited (Royalties%); Astral Resources NL (100.00%); Feysville Gold Pty Ltd; Mineral Mining Services Pty Ltd,2,3
Invincible South,Historic - Broad Arrow (24),J03523,Shut,Mine,84752,0.397,6.64,0,0,0.0,Resource,Inferred,31/12/2014,44.5,29,249.0,227.6,-30.203118,120.967013,,,1,1
Mayday N,Bardoc Gold,J01239,Shut,Mine,83656,1.734,1.5,0,0,0.0,Resource,"Indicated, Inferred",30/09/2020,27.9,25,316.8,235.3,-30.447939,121.863798,Igo Nova Holdings Pty Ltd,Igo Nova Holdings Pty Ltd (100.00%); Genesis Minerals Ltd,2,8
Kurrawang,Kundana - White Flag,J00358,Shut,Mine,82174,1.085,2.36,29759,0.356,2.6,Resource,"Indicated, Inferred, Measured",30/06/1994,35.1,15,253.4,179.7,-30.737775,121.274012,Evolution Mining Limited,Evolution Mining Limited (100.00%); Kundana Gold Pty Limited,3,5
Gigante Grande,East Menzies,J02197,Undeveloped,Prospect,81534,2.78,0.91,0,0,0.0,Resource,Inferred,23/09/2025,16.1,29,295.6,288.1,-29.678126,121.137651,Resources & Energy Group Limited,Resources & Energy Group Limited (100.00%); Menzies GoldFIeld Pty Limited; Bm Geological Services Pty Ltd; Bm Mining; Lamington Minerals Pty Ltd,4,4
Lucky Strike,Eastern Lefroy,J05221,Operating,Mine,79664,1.272,1.95,0,0,0.0,Resource,"Indicated, Inferred",20/05/2020,48.7,25,313.8,186.1,-31.127757,121.991,Lefroy Exploration Limited,Lefroy Exploration Limited (100.00%); Monger Exploration Pty Ltd; Bml Ventures Pty Ltd,2,2
Anthill,Anthill ,J04003,Undeveloped,Deposit,78515,1.42,1.72,0,0,0.0,Resource,"Indicated, Inferred",13/03/2018,34.2,16,238.4,198.0,-30.483628,121.006346,Northern Star Resources Ltd,Northern Star Resources Ltd (100.00%); Horizon Minerals Limited,2,4
Nimbus Gp,Nimbus,J02021,Proposed,Mine,77847,12.09,0.2,0,0,0.0,Resource,"Indicated, Inferred, Measured",30/04/2015,28.3,25,286.8,192.4,-30.788363,121.648132,Horizon Minerals Limited,Horizon Minerals Limited (100.00%),4,24
Benbur,Burracoppin Au / Askari,J00922,Undeveloped,Deposit,77014,2.03,1.18,0,0,0.0,Resource,Inferred,11/02/2025,18.9,70,26.3,198.6,-31.507116,118.554868,Gianni Peter Romeo,Gianni Peter Romeo; Forrestania Resources Limited (100.00%); FIrst Western Gold Pty Ltd (Royalties%),1,2
Callion UG,Davyhurst,J00084,Proposed,Mine,76776,0.411,5.81,0,0,0.0,Resource,"Indicated, Inferred",29/06/2020,29.7,30,223.4,232.8,-30.116752,120.583023,Beacon Minerals Limited,"Beacon Minerals Limited; Siberia Mining Corporation Pty Ltd; Wesfarmers Chemicals, Energy & Fertilisers Limited; Carnegie Gold Pty Ltd; Ora Banda Mining Ltd (100.00%); Davyston Exploration Pty Ltd",2,9
French Kiss,Aldiss - Karonie,J00184,Operating,Mine,75625,1.108,2.12,24679,0.404,1.9,Resource,"Indicated, Inferred",30/06/2024,13.6,28,369.0,226.0,-31.223903,122.579343,MOTO GOLDMINES AUSTRALIA PTY LTD,MOTO GOLDMINES AUSTRALIA PTY LTD; Vault Minerals Limited (100.00%); Barrick Gold Corp.,2,21
Rose Hill UG,South Kalgoorlie Operations,J00276,Undeveloped,Deposit,75522,0.51,4.61,0,0,0.0,Resource,Indicated,09/12/2020,14.6,15,239.1,153.6,-30.957006,121.176707,Black Mountain Gold Limited,Black Mountain Gold Limited; Northern Star Resources Ltd (100.00%); Northern Star (Klv) Pty Ltd; Northern Star (HBJ) Pty Ltd; Horizon Minerals Limited; Northern Star (South Kalgoorlie) Pty Ltd; Northern Star (Hampton Gold Mining Areas) Limited; Northern Star (Saracen Kalgoorlie) Pty Ltd,2,6
Imperial,Kal East,J02818,Care and Maintenance,Mine,74992,1.555,1.5,0,0,0.0,Resource,"Indicated, Inferred",09/03/2021,22.1,25,311.6,200.5,-30.892192,121.935441,Silver Lake Resources Ltd,Silver Lake Resources Ltd; Black Cat (Bulong) Pty Ltd; Black Cat Syndicate Limited (100.00%),2,14
Chameleon,Scotia,J02508,Care and Maintenance,Mine,74268,1.1,2.1,0,0,0.0,Resource,Inferred,29/07/2016,39.4,29,274.3,239.6,-30.149387,121.233066,Shine Resources Pty Ltd,Shine Resources Pty Ltd (100.00%); Aurenne Mt Ida Pty Ltd; Maverix Metals Incorporated (Royalties%),1,1
Kintore,Broads Dam,J00353,Proposed,Mine,73453,2.037,1.12,0,0,0.0,Resource,Indicated,31/12/2013,31.3,16,235.9,186.9,-30.591977,121.028062,Evolution Mining Limited,"Evolution Mining Limited (100.00%); Royal Gold, Inc. (Royalties%); Tivan Limited (Royalties%)",2,3
Cheer,Comet Vale -Queen,J00066,Undeveloped,Deposit,73297,0.962,2.37,0,0,0.0,Resource,"Indicated, Inferred",15/12/2025,14.4,29,276.3,258.6,-29.945116,121.115206,GBF Mining Pty Ltd,Neometals Ltd (Royalties%); GBF Mining Pty Ltd; Gorilla Gold Mines Ltd (100.00%); Orminex West Pty Ltd,4,6
Moonbeam,Kundana - White Flag,J00358,Operating,Mine,73227,0.438,5.2,0,0,0.0,Resource,Inferred,04/03/2015,34.7,15,251.1,180.2,-30.721286,121.243807,Evolution Mining Limited,Evolution Mining Limited (100.00%); Kundana Gold Pty Limited,1,4
KZ5,Karonie,J05593,Undeveloped,Deposit,72378,1.876,1.2,0,0,0.0,Resource,Inferred,31/08/2021,33.1,28,370.9,238.8,-31.009034,122.580996,Alchemy Resources Ltd,Alchemy Resources Ltd (100.00%); GoldtrIBe Corporation Pty Ltd,1,1
Breakaway Dam,Paddington - Mt Pleasant,J00292,Shut,Mine,71665,1.798,1.24,0,0,0.0,Resource,Indicated,27/08/2018,30.0,16,234.2,195.3,-30.499916,120.966411,Norton Gold FIelds Pty Ltd,"Norton Gold FIelds Pty Ltd (100.00%); Royal Gold, Inc. (Royalties%); Zijin Mining Group; Keras Resources Plc; Paddington Gold Pty LIMIted",1,1
Corinthia,Marvel Loch - Southern Cross,J00226,Shut,Mine,70692,1.004,2.19,0,0,0.0,Resource,Indicated,05/01/2005,25.8,77,53.7,170.1,-31.124486,119.221407,Minjar Gold Pty Ltd,"Newcrest Mining Limited (Royalties%); Adelong Gold Limited (Royalties%); Minjar Gold Pty Ltd; Royal Gold, Inc. (Royalties%); Barto Gold Mining Pty Ltd (100.00%); Shandong Tianye Group Bid Co Pty Ltd; International Royalty Corporation (Royalties%)",1,1
