Site,Project,Project_Code,Stage,Site_Type,Resource_Oz_Au,Resource_Mt,Resource_Grade_gpt,Reserve_Oz_Au,Reserve_Mt,Reserve_Grade_gpt,Resource_Categories,Resource_Statuses,Estimate_Date,Distance_km,Nearest_FRS_Cluster,Dist_Edna_May_Mill_km,Dist_Lake_Johnston_Plant_km,Latitude,Longitude,Primary_Owner,All_Owners,N_Latest_Rows,N_Total_Historical
Franks Find,Coolgardie - MacPhersons,J00229,Proposed,Mine,2840,0.048,1.84,0,0,0.0,Resource,Inferred,12/10/2016,17.0,15,239.9,149.0,-31.010675,121.1957,Beacon Minerals Limited,Beacon Minerals Limited (100.00%); MacPhersons Reward Pty Ltd; China Hanking Holdings Limited; Hanking Australia Investment Pty Ltd; Forrestania Resources Limited,1,2
Inkerman,Mungari,J04814,Undeveloped,Deposit,2813,0.025,3.5,0,0,0.0,Resource,Inferred,31/12/2004,32.4,16,235.2,180.3,-30.658675,121.04781,Evolution Mining Limited,Evolution Mining Limited (100.00%),1,2
Martins,Marvel Loch - Southern Cross,J00226,Care and Maintenance,Mine,2809,0.078,1.12,0,0,0.0,Resource,Measured,30/06/1996,44.8,77,97.2,103.2,-31.602629,119.661092,Minjar Gold Pty Ltd,"Newcrest Mining Limited (Royalties%); Adelong Gold Limited (Royalties%); Minjar Gold Pty Ltd; Royal Gold, Inc. (Royalties%); Barto Gold Mining Pty Ltd (100.00%); Shandong Tianye Group Bid Co Pty Ltd; International Royalty Corporation (Royalties%)",1,1
Scottish Lass Well,Kurnalpi,J03495,Undeveloped,Deposit,2723,0.085,1.0,0,0,0.0,Resource,Inferred,21/02/2012,34.9,25,347.8,249.9,-30.521177,122.227511,Northern Star Resources Ltd,"Northern Star Resources Ltd (100.00%); Northern Star (Carosue Dam) Pty Ltd; Royal Gold, Inc. (Royalties%); International Royalty Corporation (Royalties%)",1,2
New Mexico,New Mexico,J01007,Care and Maintenance,Mine,2701,0.007,12.0,0,0,0.0,Resource,Indicated,01/06/1989,45.3,16,242.7,216.0,-30.307904,120.958256,Forrest Maxwell William Peter,Forrest Maxwell William Peter (100.00%),1,1
Mulwarrie S,Mulwarrie Central,J00268,Undeveloped,Deposit,2688,0.019,4.4,0,0,0.0,Resource,Indicated,30/06/1989,17.3,30,229.9,245.2,-30.004246,120.565913,Gorilla Gold Mines Ltd,Gorilla Gold Mines Ltd (100.00%); Orminex West Pty Ltd; Admiral Gold Pty Ltd,1,1
Undaunted Tailings,Marvel Loch - Southern Cross,J00226,Shut,Mine,2572,0.08,1.0,0,0,0.0,Resource,Indicated,05/01/1995,25.3,77,77.6,125.2,-31.464826,119.494212,Minjar Gold Pty Ltd,"Newcrest Mining Limited (Royalties%); Adelong Gold Limited (Royalties%); Minjar Gold Pty Ltd; Royal Gold, Inc. (Royalties%); Barto Gold Mining Pty Ltd (100.00%); Shandong Tianye Group Bid Co Pty Ltd; International Royalty Corporation (Royalties%)",1,1
Abundance,Coolgardie,J00014,Undeveloped,Deposit,2507,0.023,3.39,0,0,0.0,Resource,Inferred,30/09/2005,10.4,15,230.7,142.9,-31.034236,121.102302,Focus Minerals Ltd,Focus Minerals Ltd (100.00%); Connected Minerals Limited (Royalties%); Horizon Minerals Limited,1,2
Wedderburn,Menzies,J01011,Undeveloped,Deposit,2492,0.038,2.04,0,0,0.0,Resource,Inferred,14/08/2007,15.3,29,285.8,284.3,-29.692646,121.021906,FMR INVESTMENTS PTY LIMITED,FMR INVESTMENTS PTY LIMITED; Brightstar Resources Limited (100.00%); Horizon Minerals Limited; Menzies Operational and Mining Pty Ltd; Bml Ventures Pty Ltd,1,1
Athenia,Southern Cross Central Zone,J06989,Undeveloped,Deposit,2346,0.049,1.48,0,0,0.0,Resource,Inferred,13/09/2011,17.5,77,56.8,160.8,-31.191597,119.280855,Emerald Resources (WA) Pty Ltd,"Strange Vernon Wesley (Royalties%); Emerald Resources (WA) Pty Ltd; McClaren, Kym Anthony (Royalties%); Torque Metals Limited; Altan Rio Minerals (Aust) Pty Ltd; Emerald Resources NL; Golden Horse Minerals Limited (100.00%); Golden Horse Minerals (Aust) Pty Ltd",1,1
The Unknown,Menzies,J01011,Undeveloped,Deposit,2257,0.03,2.34,0,0,0.0,Resource,"Indicated, Inferred, Measured",30/09/2006,12.6,29,285.2,282.1,-29.714507,121.033411,FMR INVESTMENTS PTY LIMITED,FMR INVESTMENTS PTY LIMITED; Brightstar Resources Limited (100.00%); Horizon Minerals Limited; Menzies Operational and Mining Pty Ltd; Bml Ventures Pty Ltd,3,6
Carnage,Carnage,J01238,Shut,Mine,2255,0.005,14.03,0,0,0.0,Resource,Indicated,31/12/1991,37.4,16,237.1,207.6,-30.380735,120.936247,"ROBERTSON, Craig Darren","ROBERTSON, Craig Darren (48.00%); ROBERTSON, Brett Andrew (48.00%)",1,1
Greenback Central,South Kalgoorlie Operations,J00276,Shut,Mine,2193,0.022,3.1,0,0,0.0,Resource,Indicated,03/07/2006,38.4,15,261.7,161.0,-30.999566,121.424708,Black Mountain Gold Limited,Black Mountain Gold Limited; Northern Star Resources Ltd (100.00%); Northern Star (Klv) Pty Ltd; Northern Star (HBJ) Pty Ltd; Horizon Minerals Limited; Northern Star (South Kalgoorlie) Pty Ltd; Northern Star (Hampton Gold Mining Areas) Limited; Northern Star (Saracen Kalgoorlie) Pty Ltd,1,2
Golden Funnel 3,Paddington - Mt Pleasant,J00292,Undeveloped,Deposit,2148,0.02,3.34,2148,0.02,3.34,Reserve,Proven,30/06/1995,48.2,15,256.0,194.7,-30.580357,121.245608,Norton Gold FIelds Pty Ltd,"Norton Gold FIelds Pty Ltd (100.00%); Royal Gold, Inc. (Royalties%); Zijin Mining Group; Keras Resources Plc; Paddington Gold Pty LIMIted",1,1
